city_ascii;lat;lng;country;iso3;population;pop_weight
Porto-Novo;6.4833;2.6166;Benin;BEN;300000;0.985303908
Bandar Seri Begawan;4.8833;114.9333;Brunei;BRN;296500;0.985976302
Port of Spain;10.652;-61.517;Trinidad And Tobago;TTO;294934;0.986645145
Port Moresby;-9.4647;147.1925;Papua New Guinea;PNG;283733;0.987288586
Bern;46.9167;7.467;Switzerland;CHE;275329;0.987912969
Windhoek;-22.57;17.0835;Namibia;NAM;268132;0.988521031
Georgetown;6.802;-58.167;Guyana;GUY;264350;0.989120516
Paramaribo;5.835;-55.167;Suriname;SUR;254169;0.989696913
Dili;-8.5594;125.5795;Timor-Leste;TLS;234331;0.990228322
Nassau;25.0834;-77.35;The Bahamas;BHS;227940;0.990745238
Sucre;-19.041;-65.2595;Bolivia;BOL;224838;0.991255119
Nicosia;35.1667;33.3666;Cyprus;CYP;224300;0.99176378
Dodoma;-6.1833;35.75;Tanzania;TZA;218269;0.992258764
Colombo;6.932;79.8578;Sri Lanka;LKA;217000;0.99275087
Gaborone;-24.6463;25.9119;Botswana;BWA;208411;0.993223498
Yamoussoukro;6.8184;-5.2755;CÃ´te Dâ€™Ivoire;CIV;206499;0.99369179
Bridgetown;13.102;-59.6165;Barbados;BRB;191152;0.994125279
Suva;-18.133;178.4417;Fiji;FJI;175399;0.994523044
Reykjavik;64.15;-21.95;Iceland;ISL;166212;0.994899975
Malabo;3.75;8.7833;Equatorial Guinea;GNQ;155963;0.995253663
Willemstad;12.2004;-69.02;CuraÃ§ao;CUW;146813;0.995586601
Podgorica;42.466;19.2663;Montenegro;MNE;145850;0.995917355
Moroni;-11.7042;43.2402;Comoros;COM;128698;0.996209213
Sri Jayewardenepura Kotte;6.9;79.95;Sri Lanka;LKA;115826;0.99647188
Praia;14.9167;-23.5167;Cabo Verde;CPV;113364;0.996728963
Male;4.1667;73.4999;Maldives;MDV;112927;0.996985056
Juba;4.83;31.58;South Sudan;SSD;111975;0.997238989
Luxembourg;49.6117;6.13;Luxembourg;LUX;107260;0.99748223
Thimphu;27.473;89.639;Bhutan;BTN;98676;0.997706005
Mbabane;-26.3167;31.1333;Swaziland;SWZ;90138;0.997910417
Sao Tome;0.3334;6.7333;Sao Tome And Principe;STP;88219;0.998110478
Honiara;-9.438;159.9498;Solomon Islands;SLB;76328;0.998283572
Oranjestad;12.5304;-70.029;Aruba;ABW;68775;0.998439538
Apia;-13.8415;-171.7386;Samoa;WSM;61916;0.998579949
Andorra la Vella;42.5;1.5165;Andorra;AND;53998;0.998702404
Kingstown;13.1483;-61.2121;Saint Vincent And The Grenadines;VCT;49485;0.998814625
Port-Vila;-17.7334;168.3166;Vanuatu;VUT;44040;0.998914498
Banjul;13.4539;-16.5917;The Gambia;GMB;43094;0.999012225
Nuku`alofa;-21.1385;-175.2206;Tonga;TON;42620;0.999108877
Castries;14.002;-61;Saint Lucia;LCA;37963;0.999194969
Monaco;43.7396;7.4069;Monaco;MCO;36371;0.99927745
Vaduz;47.1337;9.5167;Liechtenstein;LIE;36281;0.999359727
Saint John's;17.118;-61.85;Antigua And Barbuda;ATG;35499;0.99944023
Saint George's;12.0526;-61.7416;Grenada;GRD;33734;0.999516731
Victoria;-4.6166;55.45;Seychelles;SYC;33576;0.999592874
San Marino;43.9172;12.4667;San Marino;SMR;29579;0.999659952
Tarawa;1.3382;173.0176;Kiribati;KIR;28802;0.999725269
Majuro;7.103;171.38;Marshall Islands;MHL;25400;0.99978287
Roseau;15.301;-61.387;Dominica;DMA;23336;0.999835791
Basseterre;17.302;-62.717;Saint Kitts And Nevis;KNA;21887;0.999885425
Belmopan;17.252;-88.7671;Belize;BLZ;15220;0.999919941
Pago Pago;-14.274;-170.7046;American Samoa;ASM;12576;0.99994846
Lobamba;-26.4667;31.2;Swaziland;SWZ;9782;0.999970644
Funafuti;-8.5167;179.2166;Tuvalu;TUV;4749;0.999981413
Palikir;6.9166;158.15;Federated States Of Micronesia;FSM;4645;0.999991947
Capitol Hill;15.2137;145.7546;Northern Mariana Islands;MNP;2500;0.999997617
Hagta;13.4745;144.7504;Guam;GUM;1051;1
